kx (1/m)	Eigenfrequency (Hz)	real(freq) (Hz)
0.0000	0.13395	0.13395
0.0000	0.26790	0.26790
0.0000	0.75511	0.75511
0.0000	1.5102	1.5102
0.0000	2.1374	2.1374
0.0000	4.0031	4.0031
0.0000	4.2748	4.2748
0.0000	6.0879	6.0879
0.0000	8.0062	8.0062
0.0000	8.6532	8.6532
0.0000	12.011	12.011
0.0000	12.176	12.176
0.0000	15.301	15.301
0.0000	17.306	17.306
0.0000	18.994	18.994
0.0000	23.462	23.462
0.0000	24.022	24.022
0.0000	28.566	28.566
0.0000	30.602	30.602
0.0000	32.556	32.556
0.0000	37.989	37.989
0.0000	38.303	38.303
0.0000	43.213	43.213
0.0000	46.924	46.924
0.0000	49.201	49.201
0.031416	2.2155	2.2155
0.031416	2.5665	2.5665
0.031416	3.5549	3.5549
0.031416	4.1124	4.1124
0.031416	5.0417	5.0417
0.031416	5.1708	5.1708
0.031416	6.2834	6.2834
0.031416	6.7042	6.7042
0.031416	8.7320	8.7320
0.031416	9.3899	9.3899
0.031416	12.091	12.091
0.031416	12.965	12.965
0.031416	15.498	15.498
0.031416	17.878	17.878
0.031416	19.192	19.192
0.031416	23.558	23.558
0.031416	24.399	24.399
0.031416	28.619	28.619
0.031416	30.878	30.878
0.031416	32.626	32.626
0.031416	38.109	38.109
0.031416	38.502	38.502
0.031416	43.277	43.277
0.031416	47.091	47.091
0.031416	49.259	49.259
0.031416	54.174	54.174
0.031416	57.253	57.253
0.031416	61.028	61.028
0.031416	65.219	65.219
0.031416	67.644	67.644
0.031416	73.517	73.517
0.031416	76.699	76.699
0.031416	79.678	79.678
0.031416	86.483	86.483
0.031416	87.565	87.565
0.031416	92.845	92.845
0.031416	98.472	98.472
0.031416	99.960	99.960
0.031416	106.73	106.73
0.031416	108.32	108.32
0.031416	113.28	113.28
0.031416	119.74	119.74
0.031416	122.05	122.05
0.031416	127.07	127.07
0.031416	133.54	133.54
0.031416	135.28	135.28
0.031416	140.14	140.14
0.031416	146.99	146.99
0.031416	147.57	147.57
0.031416	153.56	153.56
0.062832	4.1996	4.1996
0.062832	5.0216	5.0216
0.062832	5.4393	5.4393
0.062832	6.2617	6.2617
0.062832	6.9585	6.9585
0.062832	8.9308	8.9308
0.062832	10.018	10.018
0.062832	10.247	10.247
0.062832	10.812	10.812
0.062832	11.760	11.760
0.062832	12.996	12.996
0.062832	14.744	14.744
0.062832	16.264	16.264
0.062832	19.186	19.186
0.062832	20.023	20.023
0.062832	23.885	23.885
0.062832	25.480	25.480
0.062832	28.798	28.798
0.062832	31.680	31.680
0.062832	32.847	32.847
0.062832	38.376	38.376
0.062832	39.173	39.173
0.062832	43.472	43.472
0.062832	47.574	47.574
0.062832	49.448	49.448
0.062832	54.308	54.308
0.062832	57.614	57.614
0.062832	61.135	61.135
0.062832	65.539	65.539
0.062832	67.712	67.712
0.062832	73.591	73.591
0.062832	76.974	76.974
0.062832	79.768	79.768
0.062832	86.645	86.645
0.062832	87.680	87.680
0.062832	92.891	92.891
0.062832	98.679	98.679
0.062832	100.01	100.01
0.062832	106.77	106.77
0.062832	108.50	108.50
0.062832	113.33	113.33
0.062832	119.79	119.79
0.062832	122.23	122.23
0.062832	127.11	127.11
0.062832	133.57	133.57
0.062832	135.40	135.40
0.062832	140.19	140.19
0.062832	147.02	147.02
0.062832	147.72	147.72
0.062832	153.58	153.58
0.094248	5.9906	5.9906
0.094248	7.5129	7.5129
0.094248	7.7211	7.7211
0.094248	7.9674	7.9674
0.094248	8.6641	8.6641
0.094248	10.192	10.192
0.094248	12.573	12.573
0.094248	14.935	14.935
0.094248	15.018	15.018
0.094248	15.182	15.182
0.094248	15.687	15.687
0.094248	16.836	16.836
0.094248	18.288	18.288
0.094248	20.373	20.373
0.094248	22.128	22.128
0.094248	24.527	24.527
0.094248	27.192	27.192
0.094248	29.144	29.144
0.094248	32.922	32.922
0.094248	33.295	33.295
0.094248	38.763	38.763
0.094248	40.288	40.288
0.094248	43.816	43.816
0.094248	48.293	48.293
0.094248	49.843	49.843
0.094248	54.534	54.534
0.094248	58.206	58.206
0.094248	61.316	61.316
0.094248	66.075	66.075
0.094248	67.827	67.827
0.094248	73.715	73.715
0.094248	77.423	77.423
