kx (1/m)	Eigenfrequency (Hz)	real(freq) (Hz)
0.0000	0.068649	0.068649
0.0000	0.13730	0.13730
0.0000	0.38188	0.38188
0.0000	0.76377	0.76377
0.0000	1.0757	1.0757
0.0000	2.0520	2.0520
0.0000	2.1513	2.1513
0.0000	3.3118	3.3118
0.0000	4.1041	4.1041
0.0000	4.8723	4.8723
0.0000	6.5145	6.5145
0.0000	6.6236	6.6236
0.0000	8.2455	8.2455
0.0000	9.7445	9.7445
0.0000	10.283	10.283
0.0000	12.815	12.815
0.0000	13.029	13.029
0.0000	15.664	15.664
0.0000	16.491	16.491
0.0000	18.567	18.567
0.0000	20.565	20.565
0.0000	21.398	21.398
0.0000	24.412	24.412
0.0000	25.630	25.630
0.0000	28.355	28.355
0.031416	2.2079	2.2079
0.031416	2.5114	2.5114
0.031416	2.7288	2.7288
0.031416	3.4439	3.4439
0.031416	3.9656	3.9656
0.031416	4.7360	4.7360
0.031416	5.0133	5.0133
0.031416	5.1543	5.1543
0.031416	5.7120	5.7120
0.031416	6.1564	6.1564
0.031416	7.0486	7.0486
0.031416	8.0295	8.0295
0.031416	8.7978	8.7978
0.031416	10.469	10.469
0.031416	10.917	10.917
0.031416	12.985	12.985
0.031416	13.771	13.771
0.031416	15.790	15.790
0.031416	17.088	17.088
0.031416	18.728	18.728
0.031416	21.062	21.062
0.031416	21.568	21.568
0.031416	24.546	24.546
0.031416	26.018	26.018
0.031416	28.449	28.449
0.031416	31.619	31.619
0.031416	31.949	31.949
0.031416	35.256	35.256
0.031416	37.399	37.399
0.031416	39.581	39.581
0.031416	42.997	42.997
0.031416	43.741	43.741
0.031416	48.392	48.392
0.031416	49.021	49.021
0.031416	52.276	52.276
0.031416	56.820	56.820
0.031416	57.004	57.004
0.031416	61.704	61.704
0.031416	63.836	63.836
0.031416	67.246	67.246
0.031416	70.463	70.463
0.031416	71.961	71.961
0.031416	77.011	77.011
0.031416	79.124	79.124
0.031416	82.032	82.032
0.031416	87.422	87.422
0.031416	87.558	87.558
0.031416	93.619	93.619
0.031416	96.790	96.790
0.031416	99.141	99.141
0.062832	4.1882	4.1882
0.062832	5.0049	5.0049
0.062832	5.0804	5.0804
0.062832	5.4384	5.4384
0.062832	6.1282	6.1282
0.062832	6.2935	6.2935
0.062832	7.4849	7.4849
0.062832	9.0522	9.0522
0.062832	10.005	10.005
0.062832	10.070	10.070
0.062832	10.264	10.264
0.062832	10.611	10.611
0.062832	11.225	11.225
0.062832	12.000	12.000
0.062832	13.253	13.253
0.062832	13.848	13.848
0.062832	15.706	15.706
0.062832	16.344	16.344
0.062832	18.580	18.580
0.062832	19.356	19.356
0.062832	21.894	21.894
0.062832	22.634	22.634
0.062832	24.965	24.965
0.062832	27.156	27.156
0.062832	28.730	28.730
0.062832	32.166	32.166
0.062832	32.545	32.545
0.062832	35.526	35.526
0.062832	38.167	38.167
0.062832	39.791	39.791
0.062832	43.589	43.589
0.062832	43.929	43.929
0.062832	48.536	48.536
0.062832	49.575	49.575
0.062832	52.482	52.482
0.062832	57.028	57.028
0.062832	57.385	57.385
0.062832	61.814	61.814
0.062832	64.216	64.216
0.062832	67.344	67.344
0.062832	70.829	70.829
0.062832	72.104	72.104
0.062832	77.118	77.118
0.062832	79.426	79.426
0.062832	82.137	82.137
0.062832	87.556	87.556
0.062832	87.760	87.760
0.062832	93.690	93.690
0.062832	97.018	97.018
0.062832	99.222	99.222
0.094248	5.9690	5.9690
0.094248	7.5031	7.5031
0.094248	7.5468	7.5468
0.094248	7.7524	7.7524
0.094248	7.8486	7.8486
0.094248	8.2136	8.2136
0.094248	9.0984	9.0984
0.094248	10.453	10.453
0.094248	12.150	12.150
0.094248	14.032	14.032
0.094248	14.872	14.872
0.094248	15.004	15.004
0.094248	15.084	15.084
0.094248	15.387	15.387
0.094248	15.923	15.923
0.094248	16.606	16.606
0.094248	17.586	17.586
0.094248	18.696	18.696
0.094248	19.929	19.929
0.094248	21.319	21.319
0.094248	22.800	22.800
0.094248	24.680	24.680
0.094248	25.796	25.796
0.094248	28.939	28.939
0.094248	29.237	29.237
0.094248	32.613	32.613
0.094248	33.961	33.961
0.094248	35.996	35.996
0.094248	39.370	39.370
0.094248	40.162	40.162
0.094248	44.247	44.247
0.094248	44.561	44.561
0.094248	48.815	48.815
0.094248	50.462	50.462
0.094248	52.821	52.821
0.094248	57.289	57.289
0.094248	58.101	58.101
0.094248	62.010	62.010
0.094248	64.840	64.840
0.094248	67.508	67.508
0.094248	71.433	71.433
0.094248	72.347	72.347
0.094248	77.298	77.298
0.094248	79.925	79.925
0.094248	82.313	82.313
0.094248	87.705	87.705
0.094248	88.169	88.169
0.094248	93.807	93.807
0.094248	97.396	97.396
0.094248	99.358	99.358
0.12566	7.5390	7.5390
0.12566	9.1763	9.1763
0.12566	10.002	10.002
0.12566	10.032	10.032
0.12566	10.170	10.170
0.12566	10.466	10.466
0.12566	11.032	11.032
0.12566	12.075	12.075
0.12566	13.658	13.658
0.12566	15.454	15.454
0.12566	17.556	17.556
0.12566	18.254	18.254
0.12566	19.893	19.893
0.12566	20.003	20.003
0.12566	20.054	20.054
0.12566	20.272	20.272
0.12566	20.844	20.844
0.12566	21.646	21.646
0.12566	22.556	22.556
0.12566	23.560	23.560
0.12566	24.918	24.918
0.12566	26.408	26.408
0.12566	27.860	27.860
0.12566	29.916	29.916
0.12566	31.363	31.363
0.12566	33.243	33.243
0.12566	35.869	35.869
0.12566	36.671	36.671
0.12566	40.585	40.585
0.12566	41.064	41.064
0.12566	44.715	44.715
0.12566	45.877	45.877
0.12566	49.240	49.240
0.12566	51.678	51.678
0.12566	53.295	53.295
0.12566	57.641	57.641
0.12566	59.104	59.104
0.12566	62.300	62.300
0.12566	65.700	65.700
0.12566	67.738	67.738
0.12566	72.229	72.229
0.12566	72.730	72.730
0.12566	77.551	77.551
0.12566	80.615	80.615
0.12566	82.560	82.560
0.12566	87.901	87.901
0.12566	88.759	88.759
0.12566	93.971	93.971
0.12566	97.924	97.924
0.12566	99.548	99.548
0.15708	8.8490	8.8490
0.15708	10.423	10.423
0.15708	12.502	12.502
0.15708	12.520	12.520
0.15708	12.597	12.597
0.15708	12.781	12.781
0.15708	13.145	13.145
0.15708	13.961	13.961
0.15708	15.378	15.378
0.15708	17.015	17.015
0.15708	18.847	18.847
0.15708	20.826	20.826
0.15708	21.355	21.355
0.15708	23.936	23.936
0.15708	25.002	25.002
0.15708	25.036	25.036
0.15708	25.181	25.181
0.15708	25.540	25.540
0.15708	26.121	26.121
0.15708	26.647	26.647
0.15708	27.702	27.702
0.15708	28.773	28.773
0.15708	30.361	30.361
0.15708	31.490	31.490
0.15708	33.903	33.903
0.15708	34.376	34.376
0.15708	37.548	37.548
0.15708	38.193	38.193
0.15708	41.346	41.346
0.15708	42.899	42.899
0.15708	45.385	45.385
0.15708	47.477	47.477
0.15708	49.856	49.856
0.15708	53.184	53.184
0.15708	53.932	53.932
0.15708	58.093	58.093
0.15708	60.373	60.373
0.15708	62.693	62.693
0.15708	66.791	66.791
0.15708	68.036	68.036
0.15708	72.919	72.919
0.15708	73.546	73.546
0.15708	77.879	77.879
0.15708	81.491	81.491
0.15708	82.881	82.881
0.15708	88.152	88.152
0.15708	89.521	89.521
0.15708	94.183	94.183
0.15708	98.599	98.599
0.15708	99.791	99.791
0.18850	9.8733	9.8733
0.18850	11.733	11.733
0.18850	14.820	14.820
0.18850	15.002	15.002
0.18850	15.028	15.028
0.18850	15.152	15.152
0.18850	15.422	15.422
0.18850	16.061	16.061
0.18850	17.274	17.274
0.18850	18.741	18.741
0.18850	20.293	20.293
0.18850	22.465	22.465
0.18850	23.319	23.319
0.18850	25.365	25.365
0.18850	27.907	27.907
0.18850	30.002	30.002
0.18850	30.028	30.028
0.18850	30.111	30.111
0.18850	30.332	30.332
0.18850	30.502	30.502
0.18850	31.130	31.130
0.18850	31.913	31.913
0.18850	33.078	33.078
0.18850	34.088	34.088
0.18850	35.769	35.769
0.18850	37.073	37.073
0.18850	38.913	38.913
0.18850	40.658	40.658
0.18850	42.448	42.448
0.18850	44.781	44.781
0.18850	46.486	46.486
0.18850	49.142	49.142
0.18850	50.868	50.868
0.18850	54.415	54.415
0.18850	55.280	55.280
0.18850	58.654	58.654
0.18850	61.884	61.884
0.18850	63.200	63.200
0.18850	68.099	68.099
0.18850	68.412	68.412
0.18850	73.452	73.452
0.18850	74.836	74.836
0.18850	78.283	78.283
0.18850	82.541	82.541
0.18850	83.281	83.281
0.18850	88.465	88.465
0.18850	90.455	90.455
0.18850	94.441	94.441
0.18850	99.418	99.418
0.18850	100.09	100.09
0.21991	10.690	10.690
0.21991	13.118	13.118
0.21991	16.769	16.769
0.21991	17.502	17.502
0.21991	17.521	17.521
0.21991	17.613	17.613
0.21991	17.820	17.820
0.21991	18.309	18.309
0.21991	19.300	19.300
0.21991	20.588	20.588
0.21991	21.928	21.928
0.21991	23.937	23.937
0.21991	25.376	25.376
0.21991	26.798	26.798
0.21991	29.243	29.243
0.21991	31.823	31.823
0.21991	34.684	34.684
0.21991	35.002	35.002
0.21991	35.026	35.026
0.21991	35.067	35.067
0.21991	35.320	35.320
0.21991	35.606	35.606
0.21991	36.496	36.496
0.21991	37.136	37.136
0.21991	38.652	38.652
0.21991	39.514	39.514
0.21991	41.474	41.474
0.21991	42.691	42.691
0.21991	44.565	44.565
0.21991	46.240	46.240
