kx (1/m)	特征频率 (Hz)	角频率 (rad/s)
0.0000	0.13395	0.84164
0.0000	0.20177	1.2677
0.0000	0.75486	4.7429
0.0000	1.3618	8.5561
0.0000	2.1263	13.360
0.0000	3.8720	24.328
0.0000	4.1763	26.240
0.0000	5.6178	35.298
0.0000	7.6651	48.161
0.0000	8.2607	51.904
0.0000	11.094	69.705
0.0000	12.088	75.954
0.0000	15.816	99.373
0.0000	16.323	102.56
0.0000	19.132	120.21
0.0000	23.355	146.74
0.0000	24.048	151.10
0.0000	28.751	180.65
0.0000	31.507	197.96
0.0000	32.319	203.07
0.031416	2.2191	13.943
0.031416	2.5484	16.012
0.031416	3.4742	21.829
0.031416	3.9984	25.122
0.031416	4.8395	30.408
0.031416	5.0939	32.006
0.031416	5.9851	37.605
0.031416	6.4819	40.727
0.031416	8.3368	52.382
0.031416	8.8595	55.666
0.031416	11.861	74.523
0.031416	12.150	76.339
0.031416	15.953	100.24
0.031416	16.995	106.78
0.031416	19.272	121.09
0.031416	23.466	147.44
0.031416	24.438	153.55
0.031416	28.805	180.99
0.031416	31.725	199.34
0.031416	32.404	203.60
0.031416	38.277	240.50
0.031416	38.511	241.97
0.031416	42.594	267.62
0.031416	46.690	293.36
0.031416	49.513	311.10
0.031416	54.909	345.00
0.031416	57.528	361.46
0.031416	61.005	383.31
0.031416	64.669	406.33
0.031416	66.517	417.94
0.031416	74.071	465.40
0.031416	76.797	482.53
0.031416	79.772	501.22
0.031416	85.031	534.27
0.031416	87.837	551.90
0.031416	92.549	581.50
0.031416	98.843	621.05
0.031416	100.03	628.53
0.031416	106.01	666.09
0.031416	109.78	689.77
0.062832	4.2387	26.632
0.062832	5.0158	31.515
0.062832	5.3797	33.801
0.062832	6.0376	37.935
0.062832	6.8487	43.032
0.062832	8.5802	53.911
0.062832	9.6320	60.520
0.062832	10.031	63.024
0.062832	10.397	65.327
0.062832	11.158	70.108
0.062832	12.742	80.060
0.062832	13.869	87.143
0.062832	16.456	103.40
0.062832	18.690	117.44
0.062832	19.757	124.14
0.062832	23.806	149.58
0.062832	25.554	160.56
0.062832	28.976	182.06
0.062832	32.290	202.88
0.062832	32.742	205.72
0.062832	38.628	242.71
0.062832	38.915	244.51
0.062832	42.757	268.65
0.062832	47.142	296.20
0.062832	49.707	312.32
0.062832	54.955	345.29
0.062832	57.880	363.67
0.062832	61.068	383.70
0.062832	65.030	408.60
0.062832	66.611	418.53
0.062832	74.141	465.84
0.062832	77.073	484.26
0.062832	79.836	501.62
0.062832	85.232	535.53
0.062832	87.889	552.22
0.062832	92.584	581.72
0.062832	99.093	622.62
0.062832	100.08	628.80
0.062832	106.06	666.37
0.062832	109.93	690.70
0.094248	5.9918	37.648
0.094248	7.5055	47.158
0.094248	7.5466	47.416
0.094248	7.7813	48.891
0.094248	8.6745	54.503
0.094248	10.083	63.352
0.094248	12.228	76.831
0.094248	13.888	87.259
0.094248	14.338	90.088
0.094248	14.937	93.855
0.094248	15.373	96.590
0.094248	16.408	103.10
0.094248	17.875	112.31
0.094248	20.164	126.70
0.094248	21.508	135.14
0.094248	24.406	153.35
0.094248	27.271	171.35
0.094248	29.287	184.01
0.094248	32.873	206.55
0.094248	33.648	211.42
0.094248	38.955	244.76
0.094248	39.812	250.14
0.094248	43.055	270.52
0.094248	47.820	300.46
0.094248	50.100	314.79
0.094248	55.043	345.84
0.094248	58.433	367.14
0.094248	61.202	384.55
0.094248	65.611	412.25
0.094248	66.778	419.58
0.094248	74.257	466.57
0.094248	77.520	487.07
0.094248	79.949	502.33
0.094248	85.565	537.62
0.094248	87.979	552.79
0.094248	92.644	582.10
0.094248	99.502	625.19
0.094248	100.15	629.25
0.094248	106.13	666.85
0.094248	110.17	692.24
0.12566	7.2295	45.424
0.12566	9.2274	57.978
0.12566	10.007	62.877
0.12566	10.150	63.772
0.12566	10.805	67.891
0.12566	11.870	74.582
0.12566	13.743	86.351
0.12566	16.480	103.55
0.12566	17.431	109.52
0.12566	18.432	115.81
0.12566	19.645	123.43
0.12566	20.093	126.25
0.12566	20.848	130.99
0.12566	21.816	137.07
0.12566	24.222	152.19
0.12566	25.560	160.60
0.12566	29.416	184.83
0.12566	29.777	187.09
0.12566	33.581	211.00
0.12566	35.022	220.05
0.12566	39.412	247.63
0.12566	40.981	257.49
0.12566	43.559	273.69
0.12566	48.577	305.22
0.12566	50.831	319.38
0.12566	55.180	346.71
0.12566	59.133	371.55
0.12566	61.450	386.10
0.12566	66.360	416.95
0.12566	67.063	421.37
0.12566	74.419	467.59
0.12566	78.119	490.84
0.12566	80.123	503.43
0.12566	86.026	540.52
0.12566	88.116	553.65
0.12566	92.733	582.66
0.12566	100.05	628.61
0.12566	100.27	630.02
0.12566	106.24	667.54
0.12566	110.51	694.38
0.15708	8.0555	50.614
0.15708	11.037	69.348
0.15708	12.505	78.574
0.15708	12.607	79.213
0.15708	13.083	82.206
0.15708	13.909	87.395
0.15708	15.432	96.960
0.15708	18.193	114.31
0.15708	19.933	125.24
0.15708	20.836	130.92
0.15708	22.665	142.41
0.15708	24.342	152.95
0.15708	25.053	157.41
0.15708	25.760	161.86
0.15708	26.099	163.98
0.15708	28.407	178.49
0.15708	30.533	191.84
0.15708	31.782	199.69
0.15708	34.674	217.86
0.15708	36.678	230.46
0.15708	40.061	251.71
0.15708	42.219	265.27
0.15708	44.461	279.36
0.15708	49.265	309.54
0.15708	52.033	326.93
0.15708	55.378	347.95
0.15708	59.903	376.38
0.15708	61.879	388.80
0.15708	67.013	421.05
0.15708	67.726	425.54
0.15708	74.628	468.90
0.15708	78.825	495.27
0.15708	80.391	505.11
0.15708	86.601	544.13
0.15708	88.318	554.92
0.15708	92.855	583.43
0.15708	100.35	630.53
0.15708	100.81	633.38
0.15708	106.39	668.44
0.15708	110.94	697.08
0.18850	8.7726	55.120
0.18850	12.868	80.854
0.18850	15.004	94.276
0.18850	15.082	94.762
0.18850	15.432	96.961
0.18850	16.067	100.95
0.18850	17.332	108.90
0.18850	19.800	124.41
0.18850	22.019	138.35
0.18850	22.584	141.90
0.18850	25.134	157.92
0.18850	27.285	171.44
0.18850	29.083	182.73
0.18850	30.035	188.71
0.18850	30.516	191.74
0.18850	30.847	193.82
0.18850	32.645	205.12
0.18850	34.049	213.93
0.18850	36.439	228.95
0.18850	38.507	241.95
0.18850	41.050	257.93
0.18850	43.264	271.83
0.18850	46.030	289.21
0.18850	49.893	313.49
0.18850	53.667	337.20
0.18850	55.646	349.63
0.18850	60.642	381.02
0.18850	62.585	393.23
0.18850	67.443	423.76
0.18850	68.899	432.91
0.18850	74.882	470.50
0.18850	79.543	499.79
0.18850	80.837	507.92
0.18850	87.243	548.16
0.18850	88.638	556.93
0.18850	93.013	584.42
0.18850	100.52	631.60
0.18850	101.64	638.64
0.18850	106.57	669.58
0.18850	111.46	700.31
0.21991	9.5232	59.836
0.21991	14.642	92.001
0.21991	17.504	109.98
0.21991	17.562	110.34
0.21991	17.801	111.85
0.21991	18.280	114.86
0.21991	19.371	121.71
0.21991	21.503	135.11
0.21991	23.741	149.17
0.21991	24.248	152.35
0.21991	27.136	170.50
0.21991	29.525	185.51
0.21991	32.023	201.21
0.21991	33.727	211.91
0.21991	34.493	216.73
0.21991	35.041	220.17
0.21991	35.965	225.97
0.21991	36.779	231.09
0.21991	38.951	244.74
0.21991	40.290	253.15
0.21991	42.772	268.74
0.21991	44.174	277.56
0.21991	48.209	302.90
0.21991	50.552	317.63
0.21991	55.545	349.00
0.21991	56.061	352.24
0.21991	61.316	385.26
0.21991	63.605	399.64
0.21991	67.883	426.52
0.21991	70.355	442.05
0.21991	75.180	472.37
0.21991	80.133	503.49
0.21991	81.588	512.64
0.21991	87.835	551.88
0.21991	89.201	560.47
0.21991	93.212	585.67
0.21991	100.72	632.84
0.21991	102.61	644.71
0.21991	106.79	670.99
0.21991	112.04	703.99
0.25133	10.356	65.067
0.25133	16.330	102.61
0.25133	20.001	125.67
0.25133	20.018	125.78
0.25133	20.139	126.54
0.25133	20.538	129.04
0.25133	21.493	135.04
0.25133	23.294	146.36
0.25133	25.322	159.10
0.25133	25.959	163.11
0.25133	28.721	180.46
0.25133	31.757	199.54
0.25133	33.803	212.39
0.25133	36.376	228.56
0.25133	38.415	241.37
0.25133	39.249	246.61
0.25133	40.038	251.56
0.25133	40.497	254.45
0.25133	41.916	263.37
0.25133	42.402	266.42
0.25133	45.167	283.79
0.25133	45.503	285.91
0.25133	50.704	318.58
0.25133	51.398	322.94
0.25133	56.367	354.17
0.25133	57.814	363.26
0.25133	62.019	389.68
0.25133	64.886	407.69
0.25133	68.401	429.78
0.25133	72.032	452.59
0.25133	75.526	474.54
0.25133	80.599	506.42
0.25133	82.628	519.17
0.25133	88.282	554.69
0.25133	90.108	566.17
0.25133	93.453	587.19
0.25133	100.95	634.30
0.25133	103.68	651.42
0.25133	107.06	672.70
0.25133	112.68	708.02
0.28274	11.281	70.879
0.28274	17.924	112.62
0.28274	22.178	139.35
0.28274	22.503	141.39
0.28274	22.566	141.79
0.28274	22.883	143.78
0.28274	23.673	148.74
0.28274	25.132	157.91
0.28274	26.954	169.36
0.28274	27.704	174.07
0.28274	30.250	190.06
0.28274	33.425	210.02
0.28274	36.133	227.03
0.28274	38.195	239.99
0.28274	40.824	256.50
0.28274	42.996	270.15
0.28274	43.480	273.19
0.28274	45.026	282.91
0.28274	45.547	286.18
0.28274	45.592	286.46
0.28274	47.229	296.75
0.28274	48.716	306.09
0.28274	52.173	327.82
0.28274	53.705	337.44
0.28274	56.984	358.04
0.28274	59.927	376.53
0.28274	62.942	395.48
0.28274	66.359	416.95
0.28274	69.048	433.84
0.28274	73.895	464.30
0.28274	75.933	477.10
0.28274	81.040	509.19
0.28274	83.847	526.83
0.28274	88.640	556.94
0.28274	91.310	573.72
0.28274	93.742	589.00
0.28274	101.22	636.01
0.28274	104.82	658.63
0.28274	107.40	674.82
0.28274	113.35	712.18
0.31416	12.293	77.237
0.31416	19.427	122.07
0.31416	23.973	150.63
0.31416	25.003	157.10
0.31416	25.051	157.40
0.31416	25.295	158.93
0.31416	25.899	162.73
