kx (1/m)	Eigenfrequency (Hz)	real(freq) (Hz)
0.0000	0.065288	0.065288
0.0000	0.10642	0.10642
0.0000	0.36789	0.36789
0.0000	0.59967	0.59967
0.0000	1.0370	1.0370
0.0000	1.6902	1.6902
0.0000	1.9142	1.9142
0.0000	2.8940	2.8940
0.0000	3.1201	3.1201
0.0000	4.1700	4.1700
0.0000	4.7173	4.7173
0.0000	5.6064	5.6064
0.0000	6.7971	6.7971
0.0000	7.1659	7.1659
0.0000	8.6954	8.6954
0.0000	9.1384	9.1384
0.0000	10.472	10.472
0.0000	11.680	11.680
0.0000	12.443	12.443
0.0000	14.174	14.174
0.0000	14.476	14.476
0.0000	16.732	16.732
0.0000	17.069	17.069
0.0000	18.747	18.747
0.0000	20.046	20.046
0.0000	20.046	20.046
0.0000	20.283	20.283
0.0000	21.058	21.058
0.0000	23.072	23.072
0.0000	23.596	23.596
0.0000	25.915	25.915
0.0000	27.273	27.273
0.0000	28.108	28.108
0.0000	28.108	28.108
0.0000	28.684	28.684
0.0000	30.558	30.558
0.0000	30.984	30.984
0.0000	32.491	32.491
0.0000	33.224	33.224
0.0000	33.983	33.983
0.0000	34.324	34.324
0.0000	34.749	34.749
0.0000	34.749	34.749
0.0000	35.777	35.777
0.0000	37.607	37.607
0.0000	38.978	38.978
0.0000	41.500	41.500
0.0000	42.242	42.242
0.0000	44.052	44.052
0.0000	44.413	44.413
0.031416	0.56371	0.56371
0.031416	0.74103	0.74103
0.031416	0.97911	0.97911
0.031416	1.0586	1.0586
0.031416	1.4331	1.4331
0.031416	1.6549	1.6549
0.031416	2.2204	2.2204
0.031416	2.8437	2.8437
0.031416	3.3302	3.3302
0.031416	4.1506	4.1506
0.031416	4.8397	4.8397
0.031416	5.6169	5.6169
0.031416	6.8486	6.8486
0.031416	7.1935	7.1935
0.031416	8.7098	8.7098
0.031416	9.1829	9.1829
0.031416	10.483	10.483
0.031416	11.708	11.708
0.031416	12.453	12.453
0.031416	14.191	14.191
0.031416	14.491	14.491
0.031416	16.733	16.733
0.031416	17.091	17.091
0.031416	18.754	18.754
0.031416	19.985	19.985
0.031416	20.107	20.107
0.031416	20.299	20.299
0.031416	21.063	21.063
0.031416	23.077	23.077
0.031416	23.609	23.609
0.031416	25.919	25.919
0.031416	27.281	27.281
0.031416	28.023	28.023
0.031416	28.193	28.193
0.031416	28.686	28.686
0.031416	30.566	30.566
0.031416	30.988	30.988
0.031416	32.487	32.487
0.031416	33.227	33.227
0.031416	33.987	33.987
0.031416	34.330	34.330
0.031416	34.636	34.636
0.031416	34.863	34.863
0.031416	35.780	35.780
0.031416	37.614	37.614
0.031416	38.981	38.981
0.031416	41.502	41.502
0.031416	42.248	42.248
0.031416	43.921	43.921
0.031416	44.180	44.180
0.062832	1.0483	1.0483
0.062832	1.2904	1.2904
0.062832	1.7193	1.7193
0.062832	1.8225	1.8225
0.062832	2.0869	2.0869
0.062832	2.2172	2.2172
0.062832	2.7495	2.7495
0.062832	2.9486	2.9486
0.062832	3.7361	3.7361
0.062832	4.1724	4.1724
0.062832	5.1296	5.1296
0.062832	5.6660	5.6660
0.062832	6.9768	6.9768
0.062832	7.2939	7.2939
0.062832	8.7546	8.7546
0.062832	9.3135	9.3135
0.062832	10.515	10.515
0.062832	11.791	11.791
0.062832	12.480	12.480
0.062832	14.240	14.240
0.062832	14.537	14.537
0.062832	16.738	16.738
0.062832	17.154	17.154
0.062832	18.776	18.776
0.062832	19.924	19.924
0.062832	20.167	20.167
0.062832	20.345	20.345
0.062832	21.080	21.080
0.062832	23.093	23.093
0.062832	23.646	23.646
0.062832	25.930	25.930
0.062832	27.308	27.308
0.062832	27.937	27.937
0.062832	28.278	28.278
0.062832	28.694	28.694
0.062832	30.590	30.590
0.062832	31.002	31.002
0.062832	32.475	32.475
0.062832	33.234	33.234
0.062832	33.999	33.999
0.062832	34.349	34.349
0.062832	34.523	34.523
0.062832	34.976	34.976
0.062832	35.788	35.788
0.062832	37.634	37.634
0.062832	38.988	38.988
0.062832	41.507	41.507
0.062832	42.267	42.267
0.062832	43.789	43.789
0.062832	44.307	44.307
0.094248	1.4952	1.4952
0.094248	1.9115	1.9115
0.094248	2.1695	2.1695
0.094248	2.4011	2.4011
0.094248	2.8833	2.8833
0.094248	3.1059	3.1059
0.094248	3.3017	3.3017
0.094248	3.5250	3.5250
0.094248	4.1508	4.1508
