kx (1/m)	Eigenfrequency (Hz)	real(freq) (Hz)
0.0000	0.065349	0.065349
0.0000	0.10652	0.10652
0.0000	0.36822	0.36822
0.0000	0.60019	0.60019
0.0000	1.0374	1.0374
0.0000	1.6910	1.6910
0.0000	1.9126	1.9126
0.0000	2.8908	2.8908
0.0000	3.1174	3.1174
0.0000	4.1612	4.1612
0.0000	4.7120	4.7120
0.0000	5.5923	5.5923
0.0000	6.7827	6.7827
0.0000	7.1398	7.1398
0.0000	8.6722	8.6722
0.0000	9.1154	9.1154
0.0000	10.413	10.413
0.0000	11.638	11.638
0.0000	12.372	12.372
0.0000	14.136	14.136
0.0000	14.458	14.458
0.0000	16.575	16.575
0.0000	16.972	16.972
0.0000	18.676	18.676
0.0000	19.028	19.028
0.0000	19.028	19.028
0.0000	20.167	20.167
0.0000	20.830	20.830
0.0000	23.123	23.123
0.0000	23.566	23.566
0.0000	25.548	25.548
0.0000	26.369	26.369
0.0000	26.369	26.369
0.0000	27.017	27.017
0.0000	28.066	28.066
0.0000	30.442	30.442
0.0000	30.533	30.533
0.0000	30.645	30.645
0.0000	33.271	33.271
0.0000	33.924	33.924
0.0000	33.924	33.924
0.0000	33.953	33.953
0.0000	34.449	34.449
0.0000	35.936	35.936
0.0000	37.690	37.690
0.0000	38.643	38.643
0.0000	41.095	41.095
0.0000	41.398	41.398
0.0000	41.644	41.644
0.0000	42.675	42.675
0.031416	0.56363	0.56363
0.031416	0.74156	0.74156
0.031416	0.97814	0.97814
0.031416	1.0594	1.0594
0.031416	1.4329	1.4329
0.031416	1.6553	1.6553
0.031416	2.2188	2.2188
0.031416	2.8406	2.8406
0.031416	3.3271	3.3271
0.031416	4.1423	4.1423
0.031416	4.8331	4.8331
0.031416	5.6030	5.6030
0.031416	6.8337	6.8337
0.031416	7.1677	7.1677
0.031416	8.6856	8.6856
0.031416	9.1601	9.1601
0.031416	10.424	10.424
0.031416	11.666	11.666
0.031416	12.381	12.381
0.031416	14.153	14.153
0.031416	14.470	14.470
0.031416	16.576	16.576
0.031416	16.996	16.996
0.031416	18.682	18.682
0.031416	18.971	18.971
0.031416	19.086	19.086
0.031416	20.182	20.182
0.031416	20.837	20.837
0.031416	23.127	23.127
0.031416	23.578	23.578
0.031416	25.552	25.552
0.031416	26.293	26.293
0.031416	26.445	26.445
0.031416	27.026	27.026
0.031416	28.069	28.069
0.031416	30.449	30.449
0.031416	30.532	30.532
0.031416	30.650	30.650
0.031416	33.273	33.273
0.031416	33.817	33.817
0.031416	33.961	33.961
0.031416	34.030	34.030
0.031416	34.451	34.451
0.031416	35.939	35.939
0.031416	37.696	37.696
0.031416	38.646	38.646
0.031416	41.092	41.092
0.031416	41.398	41.398
0.031416	41.651	41.651
0.031416	42.538	42.538
0.062832	1.0466	1.0466
0.062832	1.2916	1.2916
0.062832	1.7187	1.7187
0.062832	1.8172	1.8172
0.062832	2.0886	2.0886
0.062832	2.2185	2.2185
0.062832	2.7464	2.7464
0.062832	2.9468	2.9468
0.062832	3.7316	3.7316
0.062832	4.1654	4.1654
0.062832	5.1199	5.1199
0.062832	5.6530	5.6530
0.062832	6.9596	6.9596
0.062832	7.2696	7.2696
0.062832	8.7281	8.7281
0.062832	9.2908	9.2908
0.062832	10.458	10.458
0.062832	11.750	11.750
0.062832	12.407	12.407
0.062832	14.202	14.202
0.062832	14.511	14.511
0.062832	16.583	16.583
0.062832	17.064	17.064
0.062832	18.701	18.701
0.062832	18.913	18.913
0.062832	19.144	19.144
0.062832	20.226	20.226
0.062832	20.856	20.856
0.062832	23.141	23.141
0.062832	23.613	23.613
0.062832	25.564	25.564
0.062832	26.217	26.217
0.062832	26.521	26.521
0.062832	27.055	27.055
0.062832	28.079	28.079
0.062832	30.469	30.469
0.062832	30.527	30.527
0.062832	30.663	30.663
0.062832	33.278	33.278
0.062832	33.711	33.711
0.062832	33.985	33.985
0.062832	34.136	34.136
0.062832	34.456	34.456
0.062832	35.945	35.945
0.062832	37.715	37.715
0.062832	38.653	38.653
0.062832	41.082	41.082
0.062832	41.400	41.400
0.062832	41.672	41.672
0.062832	42.401	42.401
0.094248	1.4909	1.4909
0.094248	1.9133	1.9133
0.094248	2.1704	2.1704
0.094248	2.3887	2.3887
0.094248	2.8815	2.8815
0.094248	3.1086	3.1086
0.094248	3.3005	3.3005
0.094248	3.5251	3.5251
0.094248	4.1413	4.1413
0.094248	4.4163	4.4163
0.094248	5.4531	5.4531
0.094248	5.8123	5.8123
0.094248	7.1017	7.1017
0.094248	7.4874	7.4874
0.094248	8.8038	8.8038
0.094248	9.4999	9.4999
0.094248	10.517	10.517
0.094248	11.886	11.886
0.094248	12.454	12.454
0.094248	14.274	14.274
0.094248	14.588	14.588
0.094248	16.599	16.599
0.094248	17.171	17.171
0.094248	18.733	18.733
0.094248	18.855	18.855
0.094248	19.202	19.202
0.094248	20.298	20.298
0.094248	20.889	20.889
0.094248	23.164	23.164
0.094248	23.673	23.673
0.094248	25.583	25.583
0.094248	26.141	26.141
0.094248	26.597	26.597
0.094248	27.103	27.103
0.094248	28.095	28.095
0.094248	30.502	30.502
0.094248	30.519	30.519
0.094248	30.686	30.686
0.094248	33.287	33.287
0.094248	33.605	33.605
0.094248	34.024	34.024
0.094248	34.243	34.243
0.094248	34.465	34.465
0.094248	35.956	35.956
0.094248	37.745	37.745
0.094248	38.666	38.666
0.094248	41.065	41.065
0.094248	41.403	41.403
0.094248	41.707	41.707
0.094248	42.263	42.263
0.12566	1.8866	1.8866
0.12566	2.5428	2.5428
0.12566	2.6983	2.6983
0.12566	2.8810	2.8810
0.12566	3.2608	3.2608
0.12566	4.0612	4.0612
0.12566	4.1393	4.1393
0.12566	4.2423	4.2423
0.12566	4.6024	4.6024
0.12566	4.9739	4.9739
0.12566	5.7273	5.7273
0.12566	6.1868	6.1868
0.12566	7.2522	7.2522
0.12566	7.8166	7.8166
0.12566	8.9186	8.9186
0.12566	9.7767	9.7767
0.12566	10.606	10.606
0.12566	12.067	12.067
0.12566	12.528	12.528
0.12566	14.358	14.358
0.12566	14.711	14.711
0.12566	16.629	16.629
0.12566	17.313	17.313
0.12566	18.779	18.779
0.12566	18.797	18.797
0.12566	19.259	19.259
0.12566	20.398	20.398
0.12566	20.937	20.937
0.12566	23.197	23.197
0.12566	23.756	23.756
0.12566	25.610	25.610
0.12566	26.064	26.064
0.12566	26.673	26.673
0.12566	27.170	27.170
0.12566	28.118	28.118
0.12566	30.508	30.508
0.12566	30.544	30.544
0.12566	30.721	30.721
0.12566	33.301	33.301
0.12566	33.498	33.498
0.12566	34.078	34.078
0.12566	34.349	34.349
0.12566	34.477	34.477
0.12566	35.971	35.971
0.12566	37.788	37.788
0.12566	38.683	38.683
0.12566	41.042	41.042
0.12566	41.409	41.409
0.12566	41.753	41.753
0.12566	42.126	42.126
0.15708	2.2361	2.2361
0.15708	3.1742	3.1742
0.15708	3.2761	3.2761
0.15708	3.3006	3.3006
0.15708	3.6798	3.6798
0.15708	4.4233	4.4233
0.15708	5.1623	5.1623
0.15708	5.1911	5.1911
0.15708	5.3309	5.3309
0.15708	5.5653	5.5653
0.15708	6.0936	6.0936
0.15708	6.6880	6.6880
0.15708	7.4554	7.4554
0.15708	8.2162	8.2162
0.15708	9.0835	9.0835
0.15708	10.105	10.105
0.15708	10.736	10.736
0.15708	12.278	12.278
0.15708	12.644	12.644
0.15708	14.448	14.448
0.15708	14.885	14.885
0.15708	16.675	16.675
0.15708	17.486	17.486
0.15708	18.739	18.739
0.15708	18.839	18.839
0.15708	19.317	19.317
0.15708	20.522	20.522
0.15708	21.002	21.002
0.15708	23.239	23.239
0.15708	23.862	23.862
0.15708	25.645	25.645
0.15708	25.988	25.988
0.15708	26.748	26.748
0.15708	27.255	27.255
0.15708	28.148	28.148
0.15708	30.494	30.494
0.15708	30.591	30.591
0.15708	30.774	30.774
0.15708	33.318	33.318
0.15708	33.392	33.392
0.15708	34.147	34.147
0.15708	34.455	34.455
0.15708	34.492	34.492
0.15708	35.990	35.990
0.15708	37.842	37.842
0.15708	38.706	38.706
0.15708	41.013	41.013
0.15708	41.420	41.420
0.15708	41.811	41.811
0.15708	41.989	41.989
0.18850	2.5447	2.5447
0.18850	3.6723	3.6723
0.18850	3.8063	3.8063
0.18850	3.8729	3.8729
0.18850	4.1510	4.1510
0.18850	4.7792	4.7792
0.18850	5.8317	5.8317
0.18850	6.0426	6.0426
0.18850	6.2034	6.2034
0.18850	6.3466	6.3466
0.18850	6.7064	6.7064
0.18850	7.2018	7.2018
0.18850	7.7876	7.7876
0.18850	8.6455	8.6455
0.18850	9.3221	9.3221
0.18850	10.455	10.455
0.18850	10.933	10.933
0.18850	12.484	12.484
0.18850	12.836	12.836
0.18850	14.544	14.544
0.18850	15.107	15.107
0.18850	16.737	16.737
0.18850	17.688	17.688
0.18850	18.681	18.681
0.18850	18.914	18.914
0.18850	19.375	19.375
0.18850	20.665	20.665
