kx (1/m)	Eigenfrequency (Hz)	real(freq) (Hz)
0.0000	0.059052	0.059052
0.0000	0.24408	0.24408
0.0000	0.33001	0.33001
0.0000	0.93252	0.93252
0.0000	1.3641	1.3641
0.0000	1.7816	1.7816
0.0000	2.8774	2.8774
0.0000	3.8564	3.8564
0.0000	4.1720	4.1720
0.0000	5.2738	5.2738
0.0000	6.6774	6.6774
0.0000	7.3845	7.3845
0.0000	8.4637	8.4637
0.0000	10.670	10.670
0.0000	12.043	12.043
0.0000	12.453	12.453
0.0000	14.352	14.352
0.0000	16.904	16.904
0.0000	18.257	18.257
0.0000	19.413	19.413
0.0000	21.240	21.240
0.0000	24.658	24.658
0.0000	25.499	25.499
0.0000	27.512	27.512
0.0000	29.438	29.438
0.031416	5.0313	5.0313
0.031416	5.7348	5.7348
0.031416	6.0542	6.0542
0.031416	6.1126	6.1126
0.031416	6.4371	6.4371
0.031416	7.0812	7.0812
0.031416	7.9111	7.9111
0.031416	9.3211	9.3211
0.031416	10.798	10.798
0.031416	12.515	12.515
0.031416	14.393	14.393
0.031416	16.275	16.275
0.031416	18.593	18.593
0.031416	20.535	20.535
0.031416	22.845	22.845
0.031416	25.002	25.002
0.031416	25.021	25.021
0.031416	25.215	25.215
0.031416	25.668	25.668
0.031416	26.584	26.584
0.031416	27.518	27.518
0.031416	28.409	28.409
0.031416	30.377	30.377
0.031416	31.131	31.131
0.031416	34.385	34.385
0.031416	34.979	34.979
0.031416	36.528	36.528
0.031416	40.034	40.034
0.031416	40.760	40.760
0.031416	43.360	43.360
0.031416	45.995	45.995
0.031416	48.494	48.494
0.031416	50.134	50.134
0.031416	52.340	52.340
0.031416	56.295	56.295
0.031416	58.383	58.383
0.031416	59.467	59.467
0.031416	62.941	62.941
0.031416	66.965	66.965
0.031416	68.817	68.817
0.031416	70.024	70.024
0.031416	74.578	74.578
0.031416	77.368	77.368
0.031416	79.881	79.881
0.031416	82.231	82.231
0.031416	84.868	84.868
0.031416	89.900	89.900
0.031416	92.474	92.474
0.031416	93.791	93.791
0.031416	97.585	97.585
0.062832	6.8437	6.8437
0.062832	10.079	10.079
0.062832	11.581	11.581
0.062832	12.100	12.100
0.062832	12.125	12.125
0.062832	12.265	12.265
0.062832	12.614	12.614
0.062832	13.065	13.065
0.062832	14.160	14.160
0.062832	16.006	16.006
0.062832	17.963	17.963
0.062832	19.487	19.487
0.062832	20.960	20.960
0.062832	22.970	22.970
0.062832	25.849	25.849
0.062832	28.307	28.307
0.062832	31.053	31.053
0.062832	33.797	33.797
0.062832	36.027	36.027
0.062832	38.874	38.874
0.062832	42.455	42.455
0.062832	44.665	44.665
0.062832	47.975	47.975
0.062832	50.003	50.003
0.062832	50.048	50.048
0.062832	50.204	50.204
0.062832	50.579	50.579
0.062832	51.035	51.035
0.062832	51.818	51.818
0.062832	52.814	52.814
0.062832	54.267	54.267
0.062832	55.708	55.708
0.062832	58.264	58.264
0.062832	59.147	59.147
0.062832	60.907	60.907
0.062832	64.078	64.078
0.062832	65.232	65.232
0.062832	67.700	67.700
0.062832	71.165	71.165
0.062832	71.969	71.969
0.062832	75.100	75.100
0.062832	78.372	78.372
0.062832	80.142	80.142
0.062832	82.671	82.671
0.062832	85.595	85.595
0.062832	90.078	90.078
0.062832	90.310	90.310
0.062832	93.024	93.024
0.062832	97.965	97.965
0.062832	100.56	100.56
0.094248	8.3559	8.3559
0.094248	11.185	11.185
0.094248	15.643	15.643
0.094248	18.147	18.147
0.094248	18.163	18.163
0.094248	18.243	18.243
0.094248	18.455	18.455
0.094248	18.716	18.716
0.094248	19.100	19.100
0.094248	19.631	19.631
0.094248	20.999	20.999
0.094248	23.091	23.091
0.094248	24.996	24.996
0.094248	26.099	26.099
0.094248	27.810	27.810
0.094248	30.808	30.808
0.094248	33.915	33.915
0.094248	36.389	36.389
0.094248	38.946	38.946
0.094248	41.501	41.501
0.094248	44.062	44.062
0.094248	47.360	47.360
0.094248	50.888	50.888
0.094248	53.413	53.413
0.094248	57.085	57.085
0.094248	59.743	59.743
0.094248	62.931	62.931
0.094248	66.702	66.702
0.094248	69.247	69.247
0.094248	73.304	73.304
0.094248	75.003	75.003
0.094248	75.036	75.036
0.094248	75.151	75.151
0.094248	75.404	75.404
0.094248	75.709	75.709
0.094248	76.326	76.326
0.094248	77.351	77.351
0.094248	78.482	78.482
0.094248	80.531	80.531
0.094248	81.414	81.414
0.094248	83.556	83.556
0.094248	84.939	84.939
0.094248	87.361	87.361
0.094248	90.210	90.210
0.094248	91.106	91.106
0.094248	94.317	94.317
0.094248	96.870	96.870
0.094248	98.620	98.620
0.094248	101.54	101.54
0.094248	105.25	105.25
0.12566	9.5243	9.5243
0.12566	11.885	11.885
0.12566	18.963	18.963
0.12566	21.290	21.290
0.12566	24.196	24.196
0.12566	24.208	24.208
0.12566	24.268	24.268
0.12566	24.429	24.429
0.12566	24.639	24.639
0.12566	25.126	25.126
0.12566	26.089	26.089
0.12566	26.966	26.966
0.12566	28.272	28.272
0.12566	30.009	30.009
0.12566	31.377	31.377
0.12566	33.852	33.852
0.12566	35.864	35.864
0.12566	39.188	39.188
0.12566	42.101	42.101
0.12566	44.128	44.128
0.12566	46.321	46.321
0.12566	49.618	49.618
0.12566	52.377	52.377
0.12566	56.025	56.025
0.12566	59.273	59.273
0.12566	62.130	62.130
0.12566	65.694	65.694
0.12566	68.164	68.164
0.12566	71.715	71.715
0.12566	75.164	75.164
0.12566	78.245	78.245
0.12566	82.400	82.400
0.12566	85.025	85.025
0.12566	89.362	89.362
0.12566	91.996	91.996
0.12566	95.878	95.878
0.12566	99.090	99.090
0.12566	100.00	100.00
0.12566	100.03	100.03
0.12566	100.13	100.13
0.12566	100.38	100.38
0.12566	100.85	100.85
0.12566	101.39	101.39
0.12566	102.38	102.38
0.12566	103.53	103.53
0.12566	105.00	105.00
0.12566	106.76	106.76
0.12566	107.74	107.74
0.12566	110.39	110.39
0.12566	111.68	111.68
0.15708	10.368	10.368
0.15708	12.970	12.970
0.15708	19.793	19.793
0.15708	25.287	25.287
0.15708	28.091	28.091
0.15708	30.244	30.244
0.15708	30.256	30.256
0.15708	30.303	30.303
0.15708	30.432	30.432
0.15708	30.600	30.600
0.15708	30.993	30.993
0.15708	31.849	31.849
0.15708	33.253	33.253
0.15708	34.629	34.629
0.15708	35.322	35.322
0.15708	36.469	36.469
0.15708	39.324	39.324
0.15708	42.065	42.065
0.15708	44.286	44.286
0.15708	47.540	47.540
0.15708	49.544	49.544
0.15708	51.456	51.456
0.15708	54.618	54.618
0.15708	58.105	58.105
0.15708	60.973	60.973
0.15708	64.760	64.760
0.15708	67.676	67.676
0.15708	70.695	70.695
0.15708	74.036	74.036
0.15708	76.556	76.556
0.15708	80.373	80.373
0.15708	83.578	83.578
0.15708	87.101	87.101
0.15708	90.961	90.961
0.15708	93.988	93.988
0.15708	98.289	98.289
0.15708	100.94	100.94
0.15708	105.30	105.30
0.15708	108.06	108.06
0.15708	112.00	112.00
0.15708	115.42	115.42
0.15708	118.72	118.72
0.15708	122.83	122.83
0.15708	125.00	125.00
0.15708	125.04	125.04
0.15708	125.08	125.08
0.15708	125.19	125.19
0.15708	125.37	125.37
0.15708	125.84	125.84
0.15708	126.55	126.55
0.18850	11.127	11.127
0.18850	14.233	14.233
0.18850	20.393	20.393
0.18850	27.255	27.255
0.18850	31.312	31.312
0.18850	35.619	35.619
0.18850	36.293	36.293
0.18850	36.305	36.305
0.18850	36.344	36.344
0.18850	36.451	36.451
0.18850	36.593	36.593
0.18850	36.920	36.920
0.18850	37.639	37.639
0.18850	38.873	38.873
0.18850	40.384	40.384
0.18850	41.272	41.272
0.18850	42.762	42.762
0.18850	44.511	44.511
0.18850	47.837	47.837
0.18850	50.405	50.405
0.18850	52.549	52.549
0.18850	54.535	54.535
0.18850	57.314	57.314
0.18850	59.822	59.822
0.18850	63.438	63.438
0.18850	66.678	66.678
0.18850	69.724	69.724
0.18850	73.382	73.382
0.18850	76.023	76.023
0.18850	78.999	78.999
0.18850	82.306	82.306
0.18850	85.017	85.017
0.18850	89.051	89.051
0.18850	92.088	92.088
0.18850	95.979	95.979
0.18850	99.506	99.506
0.18850	102.94	102.94
0.18850	106.98	106.98
0.18850	109.92	109.92
0.18850	114.27	114.27
0.18850	116.93	116.93
0.18850	121.19	121.19
0.18850	124.18	124.18
0.18850	127.95	127.95
0.18850	131.70	131.70
0.18850	134.90	134.90
0.18850	139.31	139.31
0.18850	142.10	142.10
0.18850	146.78	146.78
0.18850	149.36	149.36
0.21991	11.928	11.928
0.21991	15.524	15.524
0.21991	21.056	21.056
0.21991	28.004	28.004
0.21991	34.574	34.574
0.21991	37.519	37.519
0.21991	42.341	42.341
0.21991	42.354	42.354
0.21991	42.387	42.387
0.21991	42.473	42.473
0.21991	42.591	42.591
0.21991	42.834	42.834
0.21991	43.237	43.237
0.21991	43.633	43.633
0.21991	44.612	44.612
0.21991	45.942	45.942
0.21991	46.767	46.767
0.21991	49.017	49.017
0.21991	50.888	50.888
0.21991	53.002	53.002
0.21991	56.361	56.361
0.21991	58.278	58.278
0.21991	59.581	59.581
0.21991	62.592	62.592
0.21991	65.905	65.905
0.21991	68.548	68.548
0.21991	72.336	72.336
0.21991	75.262	75.262
0.21991	78.470	78.470
0.21991	81.747	81.747
0.21991	84.160	84.160
0.21991	87.268	87.268
0.21991	90.722	90.722
0.21991	93.689	93.689
0.21991	97.806	97.806
0.21991	100.76	100.76
0.21991	104.90	104.90
0.21991	108.14	108.14
0.21991	111.94	111.94
0.21991	115.65	115.65
0.21991	118.92	118.92
0.21991	123.09	123.09
0.21991	125.87	125.87
0.21991	130.19	130.19
0.21991	132.98	132.98
0.21991	136.98	136.98
0.21991	140.45	140.45
0.21991	143.89	143.89
0.21991	148.12	148.12
0.21991	151.10	151.10
0.25133	12.789	12.789
0.25133	16.794	16.794
0.25133	21.821	21.821
0.25133	28.634	28.634
0.25133	35.771	35.771
0.25133	41.069	41.069
0.25133	44.583	44.583
0.25133	48.390	48.390
0.25133	48.404	48.404
0.25133	48.436	48.436
0.25133	48.510	48.510
0.25133	48.616	48.616
0.25133	48.843	48.843
0.25133	49.351	49.351
0.25133	50.227	50.227
0.25133	51.176	51.176
0.25133	51.713	51.713
0.25133	52.397	52.397
0.25133	54.475	54.475
0.25133	57.339	57.339
0.25133	59.134	59.134
0.25133	61.516	61.516
0.25133	63.579	63.579
0.25133	65.846	65.846
0.25133	67.862	67.862
0.25133	71.503	71.503
0.25133	74.546	74.546
0.25133	77.454	77.454
0.25133	81.172	81.172
0.25133	83.816	83.816
0.25133	86.869	86.869
0.25133	89.817	89.817
0.25133	92.366	92.366
0.25133	95.898	95.898
0.25133	99.326	99.326
0.25133	102.57	102.57
0.25133	106.61	106.61
0.25133	109.60	109.60
0.25133	113.85	113.85
0.25133	116.91	116.91
0.25133	120.97	120.97
0.25133	124.40	124.40
0.25133	127.96	127.96
0.25133	131.89	131.89
0.25133	134.83	134.83
0.25133	139.09	139.09
0.25133	141.82	141.82
0.25133	145.92	145.92
0.25133	149.25	149.25
0.25133	152.83	152.83
0.28274	13.696	13.696
0.28274	18.033	18.033
0.28274	22.690	22.690
0.28274	29.285	29.285
0.28274	36.441	36.441
0.28274	43.326	43.326
0.28274	47.286	47.286
0.28274	52.212	52.212
0.28274	54.438	54.438
0.28274	54.453	54.453
0.28274	54.487	54.487
0.28274	54.551	54.551
0.28274	54.646	54.646
0.28274	54.847	54.847
0.28274	55.302	55.302
0.28274	56.113	56.113
0.28274	57.227	57.227
0.28274	57.856	57.856
0.28274	59.134	59.134
0.28274	60.174	60.174
0.28274	62.782	62.782
0.28274	65.790	65.790
0.28274	67.329	67.329
0.28274	68.641	68.641
0.28274	71.311	71.311
0.28274	74.381	74.381
0.28274	76.665	76.665
0.28274	80.517	80.517
0.28274	83.211	83.211
0.28274	86.385	86.385
0.28274	89.773	89.773
0.28274	92.080	92.080
0.28274	94.892	94.892
0.28274	98.169	98.169
0.28274	100.97	100.97
0.28274	104.82	104.82
0.28274	108.07	108.07
0.28274	111.62	111.62
0.28274	115.46	115.46
0.28274	118.61	118.61
0.28274	122.82	122.82
0.28274	125.82	125.82
0.28274	130.02	130.02
0.28274	133.24	133.24
0.28274	137.00	137.00
0.28274	140.72	140.72
0.28274	143.78	143.78
0.28274	147.93	147.93
0.28274	150.67	150.67
0.28274	154.80	154.80
0.31416	14.629	14.629
0.31416	19.247	19.247
