kx (1/m)	Eigenfrequency (Hz)	real(freq) (Hz)
0.0000	0.059607	0.059607
0.0000	0.24409	0.24409
0.0000	0.33316	0.33316
0.0000	0.94157	0.94157
0.0000	1.3644	1.3644
0.0000	1.7991	1.7991
0.0000	2.9061	2.9061
0.0000	3.8578	3.8578
0.0000	4.2126	4.2126
0.0000	5.3165	5.3165
0.0000	6.7321	6.7321
0.0000	7.3881	7.3881
0.0000	8.5308	8.5308
0.0000	10.736	10.736
0.0000	12.051	12.051
0.0000	12.543	12.543
0.0000	14.475	14.475
0.0000	16.999	16.999
0.0000	18.270	18.270
0.0000	19.467	19.467
0.0000	21.465	21.465
0.0000	24.698	24.698
0.0000	25.517	25.517
0.0000	27.581	27.581
0.0000	29.750	29.750
0.031416	5.0398	5.0398
0.031416	5.7827	5.7827
0.031416	6.1107	6.1107
0.031416	6.1694	6.1694
0.031416	6.4963	6.4963
0.031416	7.1401	7.1401
0.031416	7.9687	7.9687
0.031416	9.3002	9.3002
0.031416	10.780	10.780
0.031416	12.602	12.602
0.031416	14.425	14.425
0.031416	16.284	16.284
0.031416	18.605	18.605
0.031416	20.685	20.685
0.031416	22.919	22.919
0.031416	25.001	25.001
0.031416	25.020	25.020
0.031416	25.210	25.210
0.031416	25.665	25.665
0.031416	26.561	26.561
0.031416	27.546	27.546
0.031416	28.626	28.626
0.031416	30.406	30.406
0.031416	31.199	31.199
0.031416	34.229	34.229
0.031416	35.013	35.013
0.031416	36.937	36.937
0.031416	39.845	39.845
0.031416	40.789	40.789
0.031416	43.443	43.443
0.031416	46.208	46.208
0.031416	48.534	48.534
0.031416	49.662	49.662
0.031416	53.037	53.037
0.031416	55.700	55.700
0.031416	58.410	58.410
0.031416	59.981	59.981
0.031416	62.569	62.569
0.031416	67.077	67.077
0.031416	68.844	68.844
0.031416	70.039	70.039
0.031416	74.361	74.361
0.031416	77.748	77.748
0.031416	79.880	79.880
0.031416	81.776	81.776
0.031416	85.547	85.547
0.031416	89.273	89.273
0.031416	93.349	93.349
0.031416	93.767	93.767
0.031416	96.841	96.841
0.062832	6.8509	6.8509
0.062832	10.149	10.149
0.062832	11.515	11.515
0.062832	12.213	12.213
0.062832	12.238	12.238
0.062832	12.378	12.378
0.062832	12.727	12.727
0.062832	13.182	13.182
0.062832	14.281	14.281
0.062832	16.033	16.033
0.062832	17.765	17.765
0.062832	19.574	19.574
0.062832	21.077	21.077
0.062832	22.895	22.895
0.062832	25.700	25.700
0.062832	28.498	28.498
0.062832	31.006	31.006
0.062832	33.680	33.680
0.062832	36.273	36.273
0.062832	38.849	38.849
0.062832	42.235	42.235
0.062832	45.096	45.096
0.062832	47.696	47.696
0.062832	50.003	50.003
0.062832	50.045	50.045
0.062832	50.183	50.183
0.062832	50.500	50.500
0.062832	51.053	51.053
0.062832	51.980	51.980
0.062832	52.976	52.976
0.062832	54.330	54.330
0.062832	55.536	55.536
0.062832	58.043	58.043
0.062832	59.143	59.143
0.062832	61.474	61.474
0.062832	63.917	63.917
0.062832	64.717	64.717
0.062832	68.458	68.458
0.062832	70.802	70.802
0.062832	71.815	71.815
0.062832	75.496	75.496
0.062832	78.220	78.220
0.062832	80.192	80.192
0.062832	82.658	82.658
0.062832	85.885	85.885
0.062832	89.970	89.970
0.062832	90.116	90.116
0.062832	93.658	93.658
0.062832	97.405	97.405
0.062832	101.45	101.45
0.094248	8.3634	8.3634
0.094248	11.190	11.190
0.094248	15.646	15.646
0.094248	18.317	18.317
0.094248	18.332	18.332
0.094248	18.408	18.408
0.094248	18.596	18.596
0.094248	18.798	18.798
0.094248	19.066	19.066
0.094248	19.771	19.771
0.094248	21.186	21.186
0.094248	23.134	23.134
0.094248	24.852	24.852
0.094248	25.980	25.980
0.094248	28.022	28.022
0.094248	30.623	30.623
0.094248	33.660	33.660
0.094248	36.621	36.621
0.094248	38.859	38.859
0.094248	41.282	41.282
0.094248	44.364	44.364
0.094248	47.122	47.122
0.094248	50.809	50.809
0.094248	53.713	53.713
0.094248	56.612	56.612
0.094248	60.195	60.195
0.094248	62.704	62.704
0.094248	66.520	66.520
0.094248	69.711	69.711
0.094248	72.674	72.674
0.094248	75.003	75.003
0.094248	75.036	75.036
0.094248	75.160	75.160
0.094248	75.461	75.461
0.094248	75.928	75.928
0.094248	76.574	76.574
0.094248	77.529	77.529
0.094248	78.493	78.493
0.094248	80.022	80.022
0.094248	81.325	81.325
0.094248	84.145	84.145
0.094248	85.119	85.119
0.094248	86.943	86.943
0.094248	90.159	90.159
0.094248	91.545	91.545
0.094248	94.325	94.325
0.094248	96.915	96.915
0.094248	98.539	98.539
0.094248	102.01	102.01
0.094248	105.29	105.29
0.12566	9.5567	9.5567
0.12566	11.867	11.867
0.12566	18.837	18.837
0.12566	21.283	21.283
0.12566	24.422	24.422
0.12566	24.434	24.434
0.12566	24.493	24.493
0.12566	24.652	24.652
0.12566	24.856	24.856
0.12566	25.302	25.302
0.12566	26.029	26.029
0.12566	26.921	26.921
0.12566	28.529	28.529
0.12566	30.178	30.178
0.12566	31.318	31.318
0.12566	33.386	33.386
0.12566	36.158	36.158
0.12566	38.812	38.812
0.12566	41.923	41.923
